,Address,Name,PriceLevel,Rating,Reviews,lat,lng,placeId
17,,The Lucky Creation Vegetarian Restaurant,1.0,4.3,280,37.795132,-122.4074143,ChIJQdwWVPOAhYAR6ZL-cDxRC5s
18,,COI,4.0,4.5,207,37.7980647,-122.4034273,ChIJtTiYCPWAhYARSG5vCAkeT0Y
19,,Spicy King,2.0,4.1,406,37.7940748,-122.4069736,ChIJjfQjX4uAhYARqZnA2Bg758w
20,"649 Jackson St, San Francisco",Great Eastern Restaurant,2.0,3.9,1030,37.7960392,-122.4059405,ChIJPe15ufSAhYARf6hhhS-Kq7w
21,"925 Kearny St, San Francisco",House Of Xian Dumpling,1.0,3.9,292,37.796532,-122.405408,ChIJHZKUwfSAhYARbTxrs8Pa7_k
22,"823 Clay St, San Francisco",Chef Hung's,1.0,4.0,262,37.7940818,-122.4066911,ChIJOWwMXIuAhYARf4GWzDasYno
23,"648 Pacific Ave, San Francisco",Yin Du Wonton Noodle,1.0,4.1,183,37.7970477,-122.4064596,ChIJY5BXhfSAhYARTDkytTaTdts
24,"1 Pagoda Pl, San Francisco",Hang Ah Dim Sum Tea House,1.0,4.1,909,37.793377,-122.4074816,ChIJB6z5nIyAhYAR8dqLyVz2N1E
25,"1131 Grant Ave, San Francisco",Yee's Restaurant,1.0,3.7,277,37.7972621,-122.407124,ChIJQ8ltgPSAhYAR7MLcpoA-6vM
26,"728 Washington St, San Francisco",Penang Garden Restaurant,2.0,3.9,140,37.7955243,-122.4055886,ChIJGwAYNYuAhYARHRrGrXHXa1Q
27,"815 Stockton St, San Francisco",New Fortune Restaurant,,4.6,56,37.7933626,-122.4079954,ChIJrZVRloyAhYARfQOLtCdWLrQ
28,"733 Washington St, San Francisco",Washington Bakery & Restaurant,1.0,3.6,154,37.795119,-122.406091,ChIJX-6GTIuAhYAR-6AUKml2Lv0
29,"638 Pacific Ave, San Francisco",New Regent Cafe,1.0,3.8,45,37.7970507,-122.4063306,ChIJaaiLj_SAhYARlpIdBl7YIjA
30,"915 Kearny St, San Francisco",Chong Qing Xiao Mian,1.0,4.2,530,37.7964313,-122.4053621,ChIJ51REwfSAhYARvoU7sm7LGps
31,"930 Stockton St, San Francisco",Yummy Dim Sum & Fast Food,,3.8,36,37.7944856,-122.407807,ChIJI-dnsoyAhYARuYITuCr9PnE
32,"808 Pacific Ave, San Francisco",Dol Ho Restaurant,1.0,4.1,155,37.7969343,-122.408835,ChIJm3r2CfOAhYARUAo-oZN3NlI
33,"742 Washington St, San Francisco",Nam Yuen Restaurant,,5.0,1,37.7953019,-122.4058351,ChIJAYI7S4uAhYARAyuTl0Zd4EE
34,"652 Pacific Ave, San Francisco",New Hollywood,1.0,4.0,30,37.7970332,-122.4065031,ChIJEbsahfSAhYARui0uvRYuYno
35,"1125 Stockton St, San Francisco",Wing Sing Dim Sum,1.0,3.9,77,37.7961705,-122.4086393,ChIJaw4mbfOAhYARdyo5E2MKr6g
36,"615 Jackson St, San Francisco",Begoni Bistro,2.0,4.2,422,37.795996,-122.405546,ChIJayBxyPSAhYARj12TiMzIRZ4
37,"834 Washington St, San Francisco",Kam Lok Restaurant,1.0,3.8,67,37.7951558,-122.4070917,ChIJv5ZwqvSAhYARgv-gU-_HB_s
38,"699 Jackson St, San Francisco",New Woey Loy Goey Restaurant,1.0,4.0,189,37.7959393,-122.4064993,ChIJ_0OEpPSAhYARmd_vGxWFN68
39,"737 Washington St, San Francisco",Grant Place Restaurant,2.0,3.5,209,37.795097,-122.406202,ChIJ57r_TIuAhYARy1oFoGjnPOA
40,"640 Jackson St, San Francisco",Bund Shanghai Restaurant,2.0,4.2,316,37.7962641,-122.4059597,ChIJGxw1ufSAhYAR81kF8mk9Nao
41,"818 Washington St, San Francisco",Imperial Palace,2.0,3.4,308,37.7951833,-122.4068959,ChIJJQOoq_SAhYARgYmc8DStm0Y
42,"760 Clay St, San Francisco",Oriental Pearl Restaurant,2.0,4.2,366,37.7944578,-122.4058251,ChIJ4yF-P4uAhYARaguPywvhqFo
43,"735 Jackson St, San Francisco",House of Dim Sum,1.0,3.8,119,37.7958721,-122.4072429,ChIJG94CX_OAhYAR5CiHP4D_mP0
44,"217 Columbus Ave, San Francisco",Brandy Ho's Hunan Food,2.0,4.2,264,37.7972398,-122.406004,ChIJ198mjPSAhYAR6g_G4vb9ksE
45,"667 Jackson St, San Francisco",Golden Flower Restaurant,1.0,4.2,177,37.7959888,-122.4062978,ChIJjflGu_SAhYARiuYBeY-YxU0
46,"139 Waverly Pl, San Francisco",Utopia Cafe,1.0,4.0,79,37.794714,-122.4071189,ChIJ5x7mVYuAhYARBR7To58dYOc
47,"710 Commercial St, San Francisco",Slurp Ramen,2.0,4.3,255,37.7941017,-122.405088,ChIJS9UsF4uAhYARtshptqMdvzg
48,"662 Commercial St, San Francisco",City View Restaurant,2.0,4.4,650,37.7941603,-122.4041233,ChIJHT3R4oqAhYARLvyjGU7q9Y4
49,"700 Grant Ave, San Francisco",Sushi Boat Restaurant,,2.7,27,37.793493,-122.4060168,ChIJb8gFwEWBhYARvpl-ST-r6D8
50,"614 Pine St, San Francisco",Rock Japanese Cuisine,,4.0,169,37.791597,-122.406013,ChIJhZ9x64uAhYARbRPzlDg95dE
51,"11 Walter U Lum Pl, San Francisco",Golden Star Vietnamese Restaurant,1.0,4.3,550,37.7945363,-122.4058035,ChIJjdwER4uAhYAR-2of3sZ2uf8
52,"150 Waverly Pl, San Francisco",吃广式肠粉,,4.1,101,37.7948366,-122.4068215,ChIJB4lCVIuAhYARG2AcAOsc1kU
53,"779 Clay St, San Francisco",J&M A-1 Cafe Restaurant,,3.6,41,37.7941708,-122.4059607,ChIJ1_TsQYuAhYARqnea3EPg6EI
54,"757 Clay St, San Francisco",Golden King Restaurant,1.0,4.0,120,37.79426249999999,-122.4058224,ChIJkRpUQIuAhYARZoEaP_6bk9w
55,"712 Grant Ave, San Francisco",Snow Garden,,4.0,57,37.7935406,-122.4060179,ChIJr1yRbouAhYARJ_XQIuAcX6Q
56,"631 Grant Ave, San Francisco",Far East Cafe,2.0,3.7,371,37.79298800000001,-122.4063244,ChIJr8HQeYuAhYARS1fVtqqZFpU
57,"758 Pacific Ave, San Francisco",Yummy Yummy,,3.9,15,37.7970203,-122.4080591,ChIJlzVjdvOAhYARJhHiB-C4jGU
58,"1230 Grant Ave, San Francisco",The House,3.0,4.6,598,37.7984547,-122.4070904,ChIJ5TeZivOAhYARDXYf1snFeLA
59,"674 Broadway, San Francisco",Cafe Broadway,,4.0,108,37.797814,-122.408194,ChIJH9hulPOAhYARiMdOGcTKzTg
60,"1416 Powell St, San Francisco",Lai Hong Lounge,2.0,4.2,457,37.7978639,-122.4101359,ChIJV3z4M_KAhYARScz6UsuuXj0
61,"683 Broadway, San Francisco",Yummy BBQ Kitchen,,4.1,21,37.7975209,-122.4083255,ChIJScUsmPOAhYARwy3ACHWz-kU
62,"708 Vallejo St, San Francisco",Vung Tau,1.0,4.0,102,37.7986407,-122.4091581,ChIJE1h82vOAhYARsTXftkqyajw
63,"1326 Powell St, San Francisco",Happy Chinese Restaurant,1.0,3.9,34,37.79686239999999,-122.41004,ChIJgT1QUvKAhYARSLJhCYU6XOo
64,"501 Broadway, San Francisco",Little Szechuan,2.0,3.9,182,37.797788,-122.405695,ChIJE9tGXvSAhYARWcfEqUzuTQE
65,"1300 Stockton St, San Francisco",Yuet Lee,1.0,3.8,305,37.7977959,-122.408528,ChIJyXwHlvOAhYARm3NdhLfKKuU
66,"606 Broadway, San Francisco",New Sun Hong Kong Restaurant,1.0,3.3,211,37.7980108,-122.4072383,ChIJdV5niPOAhYARWmevNp-ADK4
67,"4405 675 Broadway, San Francisco",Dim Sum Bistro,1.0,4.3,181,37.797572,-122.408156,ChIJPcb-mfOAhYARpu5lxEyzfGg
68,"641 Jackson St, San Francisco",Peninsula Seafood Restaurant,1.0,3.5,148,37.7960604,-122.4058184,ChIJu1arufSAhYARYTkZE8E6oGQ
69,"1131 Stockton St, San Francisco",Little Paris,,3.6,21,37.7962007,-122.4084821,ChIJ3402bfOAhYAReI-XRySoPdY
70,"1041 Stockton St, San Francisco",New Golden Daisy,,4.3,25,37.7954933,-122.4083383,ChIJx7QpQfOAhYARMIgtw6CWcV0
71,"1045 Stockton St, San Francisco",Gourmet Delight BBQ,,3.9,7,37.795564,-122.4083563,ChIJi9X8QPOAhYARKO-1FF1XC2k
72,"648 Kearny St, San Francisco",Hon's Wun-Tun House,1.0,4.2,199,37.794278,-122.4046307,ChIJW-VIGYuAhYARDoGG1byUOcs
73,"716 Kearny St, San Francisco",The Garden Restaurant,2.0,4.1,130,37.7947867,-122.4047035,ChIJE254JIuAhYARaXWa1zg16A0
74,"601 Kearny St, San Francisco",Young's Cafe,2.0,4.0,33,37.7936534,-122.4047986,ChIJ1WUtBIuAhYARJhBE_e_2VL4
75,"621 Kearny St, San Francisco",Good Luck Cafe and Deli,1.0,4.7,34,37.7938456,-122.4048698,ChIJF_bSGouAhYARLuv5BtmPb-4
76,"744 Washington St, San Francisco",CHINATOWN RESTAURANT,,2.3,15,37.7953772,-122.4059993,ChIJAQCctPSAhYAR72MQv1h658I
77,"801 Broadway, San Francisco",Kam PO Kitchen,1.0,4.1,249,37.79720289999999,-122.4103961,ChIJB0CuTvKAhYAROMXsQgC1U6Q
78,,Muracci's Japanese Curry & Grill,1.0,4.5,486,37.791022,-122.4042351,ChIJV28NgImAhYARMynrt6fnJLY
79,,E' Tutto Qua,2.0,4.5,796,37.797753,-122.4063,ChIJ5Z4cY_SAhYART4DbGbnIZjw
80,,Sababa,2.0,4.6,240,37.7911832,-122.4042924,ChIJOfDh1IuAhYARhstXRaTod2I
81,,Betty Lou's Seafood & Grill,2.0,4.6,447,37.7983107,-122.4069712,ChIJ7XPEdfSAhYARpkyL6DlQthc
82,,Sushi Taka,1.0,4.5,94,37.793734,-122.404451,ChIJiVfJA4uAhYARrfUdzWUopIU
83,,Sabra,2.0,4.1,244,37.790927,-122.4057449,ChIJcdOp4IuAhYAR28q1k3NXY7Q
84,"826 Washington St, San Francisco",Hunan House,2.0,3.8,218,37.795191,-122.40701,ChIJ0QaAqvSAhYAR3ID2OTZi71g
85,"523 Broadway, San Francisco",Urban Curry,1.0,4.1,232,37.7978585,-122.4059565,ChIJSSkRYfSAhYARx_k1qS7edIQ
86,"700 Grant Ave, San Francisco",Floating Sushi Boat,2.0,3.1,242,37.79348890000001,-122.4060745,ChIJMQgObouAhYARG_ROpgr3NNg
87,"356 Kearny St, San Francisco",Ramen Underground,2.0,4.1,878,37.79153609999999,-122.4040583,ChIJyyQu04uAhYARXVI2yERHvEk
88,"750 Kearny St, San Francisco",750 Restaurant & Bar,2.0,3.4,11,37.7951205,-122.4044887,ChIJOzt_KIuAhYARbg4xsx6K07I
89,,Comstock Saloon,2.0,4.5,629,37.7969298,-122.4055622,ChIJ18LA7PSAhYARZCNy_dme7v8
90,,Cafe Bastille,2.0,4.4,301,37.7911616,-122.4035949,ChIJH6DFh4mAhYARtlNX-DeJX8U
91,,Ma's Dimsum & Cafe,1.0,4.2,45,37.7966805,-122.4103247,ChIJ0bn3U_KAhYAR4uiaZnKx44A
92,,Café de la Presse,2.0,4.1,884,37.790459,-122.405352,ChIJa9b_ZomAhYAR0T45skiVOcw
93,,Caffè Macaroni,2.0,4.5,189,37.7961485,-122.4044305,ChIJWcEL3fSAhYARUPPDs_pevlM
94,,The Stinking Rose,2.0,4.2,2533,37.7982126,-122.4074595,ChIJW52Si_OAhYAR-jAC1-iQh_c
95,"605 Kearny St, San Francisco",Ohana Poke Bar,,4.0,37,37.7937251,-122.4048502,ChIJ5S4GBYuAhYARHiz0F5ecVw0
96,,The Q,2.0,4.5,1096,42.3518285,-71.0623949,ChIJF9jb7Hd644kRXiZZ_FXCqX4
97,,Chinatown Cafe,1.0,4.1,216,42.3474714,-71.0625824,ChIJmVuRlXB644kROBOLHFPO5jc
98,,Gourmet Dumpling House,1.0,4.2,1806,42.3514709,-71.0606646,ChIJKzmwPXh644kRI5Te9D3YWBE
99,,BLR by Shojo,2.0,4.6,162,42.350801,-71.060255,ChIJCQjBN3h644kRxI2nD7ZS6m8
100,,China King,1.0,4.3,172,42.3513962,-71.0602277,ChIJsaASP3h644kRheKUZVkrdy8
101,,Hong Kong Eatery,1.0,4.1,502,42.3510105,-71.0616268,ChIJPQ5XKHh644kRv5e3BF6epWU
102,,Avana Sushi,1.0,4.4,356,42.3515775,-71.06090859999999,ChIJsfI7JXh644kRRVQfwU7NhLA
103,,My Thai Vegan Cafe,1.0,4.3,892,42.35144469999999,-71.0627071,ChIJB4K3kXd644kRvMVOPEgfei8
104,,Taiwan Cafe,1.0,4.1,529,42.3514738,-71.0602763,ChIJ61-AFXh644kRPUFWWDa7iUI
105,,Phở Pasteur,1.0,4.2,1325,42.351447,-71.0627581,ChIJGT7UkHd644kRBp4xE5qd4jQ
106,,Hot Pot Buffet,2.0,4.0,701,42.3512886,-71.0597529,ChIJ77emQXh644kR3SNyh2nzXPs
107,,New Jumbo Seafood Restaurant,2.0,4.0,230,42.35094309999999,-71.0601915,ChIJrYKsR3h644kRhdRKR6aC7lk
108,,Shabu Zen,2.0,4.5,503,42.3507999,-71.0605296,ChIJh9FKN3h644kRYlEuPWJCu8E
109,,New Saigon Sandwich,1.0,4.5,87,42.3512233,-71.062696,ChIJVa-GmXd644kRfa7TuXe3DQU
110,,Blu,3.0,4.2,157,42.353009,-71.0633577,ChIJ-dSuX51w44kRPFYPRGXwcqo
111,,Wing's Kitchen,1.0,4.5,35,42.3505147,-71.060306,ChIJZVFfNHh644kRA7vv6Ax0DfM
112,,Gaga Seafood Restaurant,1.0,4.2,180,42.3507257,-71.0609313,ChIJS4r5MXh644kRLFxWK1g5h_U
113,,Kaze Shabu Shabu,2.0,4.3,370,42.3523478,-71.0615402,ChIJvynVtoJw44kR4arCsN35U_8
114,,Gourmet China House,2.0,4.1,395,42.35130849999999,-71.0607193,ChIJqahjPHh644kRb8uZzkl4QeA
115,,Irashai,1.0,4.3,259,42.35091660000001,-71.0625455,ChIJQ4a6nHd644kRMTfxLw9ALmg
116,"83 Harrison Ave, Boston",New Dong Khanh Restaurant,1.0,4.4,291,42.3509341,-71.0615938,ChIJp4sPKXh644kRM1rbbAf0GNM
117,"10 Tyler St, Boston",Winsor Dim Sum Café,1.0,4.1,606,42.3509792,-71.06046300000001,ChIJi_wROnh644kRl6rpAPaaZ6M
118,"7 Knapp St, Boston",Potluck Cafe,1.0,3.8,67,42.3511642,-71.0620189,ChIJvcwchnd644kRGlDdHu62WX4
119,"7-15 Beach St, Boston",Sweet Kingdom Dessert,,4.1,121,42.3513734,-71.0622696,ChIJK3PKkXd644kRwFTu4Yijfn8
120,"20 Tyler St, Boston",Jade Garden,2.0,3.9,268,42.350766,-71.060619,ChIJ0UltMXh644kRocWltDnwfls
121,"9 Tyler St, Boston",China Pearl Restaurant,2.0,4.0,592,42.351076,-71.060828,ChIJz5PKO3h644kR_zF5SEKH1Q0
122,"66 Beach St, Boston",New Golden Gate Seafood,1.0,3.9,450,42.351324,-71.0600468,ChIJI3xQQHh644kRnVB-UHOAqNA
123,"2 Tyler St, Boston",Suishaya,2.0,3.8,270,42.3512189,-71.0603762,ChIJzS43P3h644kRGJojsd3P5NM
124,"74 Kneeland St, Boston",Clay Pot Cafe,1.0,4.4,226,42.350496,-71.0604783,ChIJyYldNHh644kRxSj93fanKJA
125,"2017, 58 Beach St, Boston",Five Spices House,2.0,4.1,246,42.3513195,-71.0603163,ChIJ6_cFP3h644kRWusW196frTE
126,"63 Beach St, Boston",Great Taste,1.0,3.9,220,42.3511409,-71.06017589999999,ChIJdd-tQHh644kRCcyUaH395SM
127,"42 Beach St, Boston",Hot Eastern,2.0,4.2,188,42.35154989999999,-71.0609413,ChIJYyuyInh644kRUKKHXurwvzQ
128,"26 Oxford St, Boston",Wai Wai,1.0,4.2,85,42.3516767,-71.0602735,ChIJh16AFXh644kRPEON8cZdaqQ
129,"21 Hudson St, Boston",New Shanghai,2.0,3.8,114,42.35055699999999,-71.060282,ChIJezCiSnh644kRQ7pWLcNYPOE
130,"5 Tyler St, Boston",Ruckus,1.0,4.3,262,42.3512374,-71.0607954,ChIJVYhlO3h644kRaNeeUHBJg-8
131,"75 Kneeland St, Boston",Crave - Mad for Chicken,2.0,4.2,761,42.3501638,-71.0607931,ChIJ5QW5zXl644kRWWRQ42KINNI
132,"690 Washington St, Boston",Empire Garden Restaurant,1.0,3.8,348,42.351302,-71.0627521,ChIJT6O7KWt444kRdhrpLVrTapY
133,"9 Tyler St, Boston",Shojo,2.0,4.4,611,42.35110299999999,-71.0607898,ChIJRV40Onh644kRFHLE15lzefw
134,"685 Washington St, Boston",Penang Malaysian Cuisine,2.0,4.2,767,42.35135349999999,-71.0630597,ChIJJ9EcmHd644kRJQ2x_02GSE8
135,"4 Tyler St, Boston",Peach Farm,2.0,3.8,351,42.351192,-71.06049569999999,ChIJuVlROXh644kRqUIF4W7-ZNo
136,"28 Harrison Ave, Boston",Asian Garden Restaurant,2.0,3.9,145,42.3519435,-71.0610051,ChIJjTz-Inh644kRCme4b9Gc3Is
137,"45 Beach St, Boston",Bubor Cha Cha,1.0,3.7,255,42.35124709999999,-71.06085829999999,ChIJyxHyPHh644kRfpfAaZhknH8
138,"695 Washington St, Boston",Dumpling Cafe,1.0,4.0,914,42.3512494,-71.0631047,ChIJAxAcmXd644kRVJO136272ok
139,"86 Harrison Ave, Boston",Double Chin Modern Asian Restaurant,1.0,4.1,415,42.3507504,-71.0613492,ChIJ1-BYKXh644kRKMsSvOl1-yg
140,"1 Stuart St, Boston",Boston Kitchen Pizza,1.0,4.3,374,42.3510603,-71.0631071,ChIJ7V9fn3d644kRzotUsPPwfik
141,"99 Harrison Ave, Boston",Wai Wai,1.0,4.2,21,42.3507959,-71.0616039,ChIJcXPzKXh644kRL0NsTN0DHrA
142,"88 Harrison Ave, Boston",Ding Ho,,4.6,45,42.3506921,-71.06132649999999,ChIJARrOK3h644kRhmCkDg0Yspw
143,"50 Beach St, Boston",Quic Pic BBQ,1.0,3.7,105,42.3514809,-71.0607421,ChIJ8W6CPXh644kRK1KpNV6KWaQ
144,"88 Beach St, Boston",Hei La Moon Restaurant,1.0,4.0,1365,42.3510777,-71.0588951,ChIJ3eXQX3h644kReshTTfXl1Jo
145,"112 South St, Boston",Amateras Ramen,2.0,4.6,293,42.3509999,-71.05719119999999,ChIJowXjv3h644kRpUqoU6ud1dg
146,"63 Stuart St, Boston",Montien Thai Restaurant,2.0,4.2,523,42.351194,-71.064414,ChIJtVC2q3d644kRXSkDh4XNwG4
147,"232 Tremont St, Boston",Genki Ya - Boston,2.0,4.3,418,42.3512299,-71.06466189999999,ChIJb5LCVHZ644kRxRiTfd2DGKw
148,"2 Tyler St, Boston",Grassland BBQ,,4.3,4,42.35121849999999,-71.0603738,ChIJx9LVPnh644kR6VOBOi8hVWM
149,"62 Boylston St, Boston",Fin's Japanese Sushi & Grill,2.0,4.3,181,42.3522441,-71.0642744,ChIJYRlvynd644kRt6ehFB8ALkI
150,"1905, 23 Tyler St, Boston",China Gourmet Restaurant,1.0,4.2,24,42.3507606,-71.0609684,ChIJP4oZLnh644kRhEZnBXGkE64
151,"42 Beach St #101, Boston",Sakura Sunakku,,4.3,58,42.35154989999999,-71.0609413,ChIJsUK9Inh644kRhTcaXUZlZ_Q
152,"850 Grant Ave, San Francisco",Bow Hon Restaurant,1.0,3.1,68,37.7949655,-122.4062773,ChIJtWzBTYuAhYAR-mNghI61FkA
153,"772 Pacific Ave, San Francisco",New Asia Restaurant,2.0,3.6,357,37.796959,-122.4080569,ChIJyxaTdvOAhYARPmCkeN69K4g
154,"533 Jackson St, San Francisco",Raavi Indian Restaurant,,4.0,75,37.79611000000001,-122.404583,ChIJ4cbR0PSAhYARZAFVXvLfTxQ
155,"20 Hudson St, Boston",Station Bistro & KTV,,4.1,157,42.350397,-71.059962,ChIJoZipS3h644kRlZUsVhWmEgM
156,"821 Washington St, Boston",Wisteria Restaurant and Bar,,3.5,4,42.3489231,-71.0642206,ChIJaemvLnd644kRmAPmPGHQmE8
157,"137 Stuart St, Boston",The Halal Guys,1.0,4.3,903,42.3513017,-71.0657495,ChIJgb0s9XZ644kRcaP3BevEj8E
158,"Tufts Medical Center, 800 Washington St, Boston",Au Bon Pain,2.0,3.7,39,42.3494722,-71.06315359999999,ChIJU8OLP3d644kR-agVwzwX7i4
159,"66 Harrison Ave, Boston",163 Vietnamese Sandwich,1.0,4.2,64,42.3511639,-71.0610014,ChIJ12qIJHh644kRDidUhav8KHw
160,"177 Harrison Ave, Boston",Jook Sing Cafe,1.0,4.1,60,42.3491685,-71.0623873,ChIJzW5HXHd644kRMz9Ge5tP27c
161,"86 Bedford St, Boston",Gene's Chinese Flatbread Cafe,1.0,4.6,467,42.353409,-71.059624,ChIJ_xpxkYJw44kRBp5JjOO4hiA
162,"228 Tremont St, Boston",4th Wall Restaurant & Bar,,4.3,73,42.351343,-71.0646221,ChIJa_yJf5R744kRy_UhozQrWOQ
163,"226 Tremont St, Boston",Maria's Taqueria,1.0,4.3,263,42.351445,-71.06466800000001,ChIJE_K4rHd644kRqGM1bzPVrkg
164,"224 Tremont St, Boston",New York Pizza,1.0,4.0,260,42.3514513,-71.064616,ChIJET7crHd644kRJYDD5yile2w
165,,Abby Lane,2.0,4.2,375,42.3504871,-71.06527109999999,ChIJkybobRR644kRtL9keGTM5fQ
166,,RUKA,3.0,4.5,559,42.3544534,-71.06176099999999,ChIJ6yS40oJw44kRuI5-v3is2yg
167,,Yvonne's,3.0,4.6,1168,42.3555005,-71.0614361,ChIJWceaK4Nw44kR3HDuPVX0acU
168,,Kings Dining & Entertainment,2.0,4.0,713,42.3469888,-71.085711,ChIJNRQDqRp644kRisiIyUr2Wc8
169,,Barcelona Wine Bar,2.0,4.6,1065,42.3445885,-71.0709941,ChIJgZ6pgG1644kRLYzhg8GwJbE
170,,Dumpling King,,4.4,18,42.35154989999999,-71.0609413,ChIJVdWZInh644kR8Ov37p1adRE
171,"636 Broadway, San Francisco",My Canh,1.0,4.2,150,37.7979329,-122.4075868,ChIJqyoCj_OAhYARb30FLB3tGZ8
172,"1429 Stockton St, San Francisco",Firenze By Night,3.0,4.5,344,37.7989556,-122.4091282,ChIJx1MA2fOAhYARzY_KyvD4bA0
173,"671 Broadway, San Francisco",Vip Coffee & Cake Shop,,3.8,114,37.7975291,-122.408079,ChIJq6o-mvOAhYAReba01Ti8B5s
174,"242 Columbus Ave, San Francisco",Tosca Cafe,3.0,4.5,395,37.7975582,-122.4059801,ChIJ2xNJivSAhYARhivCKSIaZCY
175,"733 Bush St, San Francisco",Sushi Toni,2.0,4.3,335,37.7899633,-122.4094361,ChIJUQVBLoyAhYARJFEwb5F0cjE
176,"92 Bedford St, Boston",SA PA,1.0,4.1,142,42.35340310000001,-71.0594594,ChIJyY97joJw44kRHSq_oZJGVJ4
177,"129 South St, Boston",Les Zygomates Wine Bar & Bistro,3.0,4.4,364,42.351207,-71.05752100000001,ChIJjSlwlHh644kRsCeCml9pVUM
178,"230 Tremont St, Boston",Subway,1.0,2.8,30,42.35130400000001,-71.0647188,ChIJb8-kVHZ644kReEyiujufiq8
179,"179 Massachusetts Ave, Boston",Dumpling Palace,1.0,3.7,428,42.3457163,-71.0873414,ChIJWVOz9hp644kRXDWojrzS-Pk
180,,Oriel Chinatown,2.0,4.8,56,34.0626757,-118.2363142,ChIJ4ZXBmVvGwoARMnqgM4PURP4
181,,Won Kok Restaurant,1.0,4.1,1372,34.061839,-118.2376205,ChIJj2yLqFvGwoARIcaIkZyNrTc
182,,Yang Chow Restaurant,2.0,4.4,1527,34.0629657,-118.2382179,ChIJex1wNVrGwoARNrEcRx7cb0I
183,,Full House Seafood,2.0,4.3,594,34.06622,-118.238042,ChIJ5zGDB1nGwoAR2TQY-gDBlYk
184,,LASA,2.0,4.6,136,34.061384,-118.2393581,ChIJk3enX1rGwoARARB8Q8dTh1I
185,,Chinese Friends Restaurant,2.0,4.6,284,34.0664571,-118.2358912,ChIJGUicMFnGwoAR_8OWTeYZeAI
186,,Full Moon House,,4.3,209,34.0660293,-118.2376414,ChIJedrIDlnGwoARqk3KNmDXLpE
187,,Pho 87,1.0,4.5,834,34.067348,-118.235696,ChIJF5-xKVnGwoARobBf9Z2okrM
188,,Plum Tree Inn,2.0,4.4,253,34.0643592,-118.2375019,ChIJn65xfVnGwoARBpQ63tYZH1c
189,,Foo-Chow Restaurant,1.0,4.3,449,34.0658978,-118.2383402,ChIJlzIip1nGwoAR_PIzuDetJFI
190,,Golden Dragon Restaurant,2.0,4.1,730,34.0655701,-118.236411,ChIJc2KaQ1nGwoARaoH2ks-gGcg
191,,Chego,1.0,4.4,369,34.0613819,-118.2396111,ChIJ7cmXAsu7woARl1oBrWZ1e7I
192,,The Little Jewel of New Orleans,2.0,4.5,934,34.0601021,-118.2382035,ChIJB7BW31rGwoAR-KjRhnUJKTA
193,,Majordomo,3.0,4.6,418,34.0690839,-118.2261559,ChIJJxloG2HGwoARrnxMRe2L_ik
194,,Lao Tao Taiwanese Street Food,2.0,4.5,133,34.0613561,-118.2396685,ChIJsTjh9VrGwoAREvDUxNhWLhQ
195,,Philippe The Original,1.0,4.6,5942,34.059768,-118.237035,ChIJd9NcMVvGwoARpVcjtJfZBQo
196,,Jade Wok,1.0,4.5,171,34.0653457,-118.2406512,ChIJmUad2VnGwoAR-x_TD_jDKXQ
